species,pond_area_m2,pond_depth_m,stocking_density_per_m2,stocking_count,initial_average_weight_g,initial_biomass_kg,culture_days,survival_rate,mortality_rate,growth_rate_g_week,harvest_average_weight_g,surviving_count,production_kg,production_kg_per_ha
Litopenaeus vannamei,197.88268941105315,1.8417371128709832,59.03765055652117,11683,0.09998249988207439,1.168095546122275,120.0,0.936330813650196,0.06366918634980401,1.120206480850366,19.303522171602634,10939,211.1612290351612,10671.030885199116
Litopenaeus vannamei,461.2954166067893,1.2405453789282874,67.94578061828491,31343,0.04889763545146504,1.5325985879552688,94.0,0.8826605519988734,0.11733944800112661,1.8505331743131956,22.647298959920246,27665,626.5375257261935,13582.132038833099
Litopenaeus vannamei,1012.296109901255,1.1362968405183371,148.80669431429365,150636,0.025025894764654503,3.7698006837684956,139.0,0.8991130400885623,0.1008869599114377,1.0317950751289926,20.49770357823554,135439,2776.1884749326437,27424.668017379307
Litopenaeus vannamei,451.79294175053707,1.5000691020644996,50.55045197107327,22838,0.38836699632775107,8.86952546213318,154.0,0.9124295723808671,0.08757042761913292,1.7596625902950986,30.854890072770516,20838,642.954199336392,14231.169633708154
Litopenaeus vannamei,217.49428433116202,0.8945426200972145,44.31384191215746,9638,0.012777045225170218,0.12314516188019058,119.0,0.9324399678768298,0.06756003212317019,0.9519462031515991,16.195862498802356,8987,145.55221627673677,6692.231785508233
Litopenaeus vannamei,2150.038173006753,1.4942385231200854,134.13282635750573,288391,0.1092020924955583,31.492900656886555,148.0,0.9343038449205736,0.06569615507942639,1.4839821817304049,27.73919357304886,269445,7474.18701229015,34763.04330837885
Litopenaeus vannamei,218.33365785554096,1.1820582393454677,120.686759820997,26350,0.3270730716911319,8.618375439061326,130.0,0.8937260057501124,0.1062739942498876,1.0442538158124355,19.720358222493505,23550,464.41443613972206,21270.85858869267
Litopenaeus vannamei,936.1763293302912,1.549708119441615,75.87713134905287,71034,0.011059762277126638,0.7856191535934137,114.0,0.9154794522285989,0.08452054777140106,1.3857930223005672,21.8615254522772,65030,1421.6550001615863,15185.76101126793
Litopenaeus vannamei,1089.743972306517,1.3772247213029198,142.67882312389546,155483,0.9293970736839652,144.50544520760394,134.0,0.8189658436531525,0.1810341563468475,1.1121049648662427,21.994653035513974,127335,2800.6891442771716,25700.43253691345
Litopenaeus vannamei,2331.1190041264877,1.2904008776322922,72.05565364344588,167970,0.01870665055770388,3.142156094177521,133.0,0.787240656635307,0.21275934336469304,1.2441982688141358,22.940426658456317,132233,3033.4814383276544,13012.98403452532
Litopenaeus vannamei,231.90842128483766,1.9355724906416125,69.61284534905121,16144,0.3839647225162621,6.198726480302535,132.0,0.8170882106736845,0.18291178932631547,0.6177007498333047,12.032036005087152,13191,158.71458694310462,6843.8475008273235
Litopenaeus vannamei,1513.2861735491579,1.6171051024275602,66.2287462175299,100223,0.6723362224175914,67.38355321935826,113.0,0.8272856148996627,0.17271438510033732,0.8652837096974739,14.640487536105384,82913,1213.8867430811056,8021.528011678972
Litopenaeus vannamei,7007.179030445657,1.5201842221598523,38.99198629957358,273224,0.10244073986754751,27.989268709570798,132.0,0.8168362614300553,0.18316373856994472,0.6932565076779916,13.17527774179539,223179,2940.4453111361536,4196.332501795863
Litopenaeus vannamei,2034.1473740553763,1.373757888059992,139.7329185596952,284237,0.7206068416343123,204.82312684561205,138.0,0.8728454418495561,0.12715455815044385,1.2775291704927905,24.623128812616763,248095,6108.8751427661555,30031.625145169306
Litopenaeus vannamei,279.27211663609035,1.33860114334781,74.72587172978274,20869,0.11963810021819428,2.4967275134534965,139.0,0.9074452712370884,0.0925547287629116,1.3572506569736353,25.20961861566593,18937,477.39454772486573,17094.243187440792
Litopenaeus vannamei,1212.8614531930866,1.4186490639919962,53.633238464079255,65050,0.13732004547679225,8.932668958265337,134.0,0.8794634916532522,0.12053650834674778,1.8087313918820258,28.161303970467273,57209,1611.0800388464622,13283.298225077482
Litopenaeus vannamei,281.2177897081272,0.9379883569614346,74.2534467178248,20881,0.09292630047750718,1.9403940802708273,146.0,0.9191001011478149,0.08089989885218507,1.4443859045441056,27.07476403657011,19192,519.6188713898536,18477.45378872226
Litopenaeus vannamei,2066.334112437081,1.3859275463548455,58.99670626711602,121907,0.3882331231205248,47.32833534025382,143.0,0.9416418703588277,0.05835812964117226,0.8692903334615878,18.146592792407247,114793,2083.101826418805,10081.147157571473
Litopenaeus vannamei,2546.0740564559505,1.2574142134697173,135.16563699272754,344142,0.03680626464137311,12.666581526211427,133.0,0.897981166985708,0.10201883301429204,1.3053922420003417,23.707130092356255,309033,7326.285533831131,28774.83282646175
Litopenaeus vannamei,218.86918694586174,2.060651090182942,112.55110239852313,24634,0.4078972799739467,10.048141594878203,113.0,0.8673334981133685,0.13266650188663154,1.1767184546335219,19.403495190486517,21366,414.57507823993495,18941.683113323845
Litopenaeus vannamei,2365.7058584096217,1.3707418887863976,71.75403689444475,169749,0.11379115823711781,19.315935319592512,136.0,0.8336121083646317,0.16638789163536827,1.8192892165936985,28.4978141523884,141505,4032.5831916337206,17046.004165305152
Litopenaeus vannamei,835.9332818194467,1.5308870909228145,77.55788531081214,64833,0.040827467504597606,2.6469672007255767,129.0,0.7230774941511801,0.27692250584881994,1.39560618796738,24.127135461477597,46879,1131.0559832986082,13530.457608253299
Litopenaeus vannamei,248.30469022993003,1.245871008846331,38.04337745384375,9446,0.19111877323705467,1.8053079319972185,167.0,0.8669413119237973,0.1330586880762027,1.3427163942412326,29.104302040034252,8189,238.3351294058405,9598.494864722139
Litopenaeus vannamei,128.23723787266167,1.4482616672134827,40.87453377320877,5242,0.8918238690553872,4.6749407215883405,129.0,0.9095387589201935,0.09046124107980646,1.1182849311577805,21.341534307216698,4768,101.75643557680922,7935.014607679899
Litopenaeus vannamei,2852.1557984665915,2.0550020680866505,136.8589753945794,390343,0.22799360754898662,88.99570875149408,106.0,0.9339981955620876,0.06600180443791237,1.4196806371718376,21.215776731421045,364580,7734.847880741485,27119.303527878743
Litopenaeus vannamei,182.07094386767716,1.3626165564869657,134.595794110959,24506,0.5560107268926984,13.625598873232466,123.0,0.8617243527852889,0.13827564721471108,1.4818554875244583,24.450048358038245,21117,516.3116711766936,28357.719260901453
Litopenaeus vannamei,1305.0918667389572,1.3896591189908452,37.14461195397512,48477,0.04971120059441038,2.409849871215232,99.0,0.887812508016236,0.11218749198376399,1.171456875941431,16.61745844605179,43038,715.1821766011768,5479.9374268434285
Litopenaeus vannamei,9053.472489545109,1.6872368376662623,66.7001561896611,603868,0.3058086638243724,184.6680662062961,130.0,0.8648810935379785,0.13511890646202152,0.7902624672251625,14.98211162657739,522274,7824.76736765908,8642.835527136212
