species,pond_area_m2,pond_depth_m,stocking_density_per_m2,stocking_count,initial_average_weight_g,initial_biomass_kg,culture_days,survival_rate,mortality_rate,growth_rate_g_week,density_growth_multiplier,effective_growth_rate_g_week,harvest_average_weight_g,surviving_count,production_kg,production_kg_per_ha
Litopenaeus vannamei,197.88268941105315,1.8417371128709832,59.03765055652117,11683,0.09998249988207439,1.168095546122275,120.0,0.936330813650196,0.06366918634980401,1.120206480850366,0.9237556627533926,1.0347970801385755,17.839361016543368,10939,195.14477015996792,9861.639274297619
Litopenaeus vannamei,461.2954166067893,1.2405453789282874,67.94578061828491,31343,0.04889763545146504,1.5325985879552688,94.0,0.8826605519988734,0.11733944800112661,1.8505331743131956,0.9038014514150418,1.6725145688359506,21.49976510526732,27665,594.7910016372203,12893.928277293582
Litopenaeus vannamei,1012.296109901255,1.1362968405183371,148.80669431429365,150636,0.025025894764654503,3.7698006837684956,139.0,0.8991130400885623,0.1008869599114377,1.0317950751289926,0.7226730047359822,0.7456504472152575,14.831513346610484,135439,2008.7653361515772,19843.653615813295
Litopenaeus vannamei,451.79294175053707,1.5000691020644996,50.55045197107327,22838,0.38836699632775107,8.86952546213318,154.0,0.9124295723808671,0.08757042761913292,1.7596625902950986,0.9427669875847958,1.6589517994181688,30.178298483084028,20838,628.855383790505,13919.105981468278
Litopenaeus vannamei,217.49428433116202,0.8945426200972145,44.31384191215746,9638,0.012777045225170218,0.12314516188019058,119.0,0.9324399678768298,0.06756003212317019,0.9519462031515991,0.9567369941167673,0.9107621489641303,15.495733577615386,8987,139.26015766202946,6402.934131822453
Litopenaeus vannamei,2150.038173006753,1.4942385231200854,134.13282635750573,288391,0.1092020924955583,31.492900656886555,148.0,0.9343038449205736,0.06569615507942639,1.4839821817304049,0.7555424689591872,1.1212115614760314,23.402406909433772,269445,6305.661529712383,29328.137559967767
Litopenaeus vannamei,218.33365785554096,1.1820582393454677,120.686759820997,26350,0.3270730716911319,8.618375439061326,130.0,0.8937260057501124,0.1062739942498876,1.0442538158124355,0.7856616580009667,0.8204301843050341,15.563633637356052,23550,366.523572159735,16787.314230875156
Litopenaeus vannamei,936.1763293302912,1.549708119441615,75.87713134905287,71034,0.011059762277126638,0.7856191535934137,114.0,0.9154794522285989,0.08452054777140106,1.3857930223005672,0.8860352257781215,1.2278614333958284,20.006238691761826,65030,1301.0057021252715,13897.015566030886
Litopenaeus vannamei,1089.743972306517,1.3772247213029198,142.67882312389546,155483,0.9293970736839652,144.50544520760394,134.0,0.8189658436531525,0.1810341563468475,1.1121049648662427,0.7363994362024742,0.8189534691254734,16.60650633980017,127335,2114.5894847784543,19404.46140117465
Litopenaeus vannamei,2331.1190041264877,1.2904008776322922,72.05565364344588,167970,0.01870665055770388,3.142156094177521,133.0,0.787240656635307,0.21275934336469304,1.2441982688141358,0.8945953358386812,1.1130539681396876,21.048225942864025,132233,2783.2700611027385,11939.630950525754
Litopenaeus vannamei,231.90842128483766,1.9355724906416125,69.61284534905121,16144,0.3839647225162621,6.198726480302535,132.0,0.8170882106736845,0.18291178932631547,0.6177007498333047,0.9000672264181253,0.5559722006588589,10.868011934940458,13191,143.3599454337996,6181.748150392526
Litopenaeus vannamei,1513.2861735491579,1.6171051024275602,66.2287462175299,100223,0.6723362224175914,67.38355321935826,113.0,0.8272856148996627,0.17271438510033732,0.8652837096974739,0.907647608472733,0.7853726897573268,13.35049535707158,82913,1106.9296215408758,7314.740865865171
Litopenaeus vannamei,7007.179030445657,1.5201842221598523,38.99198629957358,273224,0.10244073986754751,27.989268709570798,132.0,0.8168362614300553,0.18316373856994472,0.6932565076779916,0.9686579506889552,0.6715284280291454,12.765548239845717,223179,2849.002290620527,4065.8334520094754
Litopenaeus vannamei,2034.1473740553763,1.373757888059992,139.7329185596952,284237,0.7206068416343123,204.82312684561205,138.0,0.8728454418495561,0.12715455815044385,1.2775291704927905,0.7429982624262828,0.9492019538750337,19.433445360884978,248095,4821.340626808759,23702.0222246567
